n,Numerical,Exact,Relative Error
1,1.233694239978881,1.2337005501361697,5.1148208436763355e-06
2,4.934701238988174,4.934802200544679,2.0459088814978882e-05
3,11.102793838665669,11.103304951225528,4.603247070172285e-05
4,19.737593457270584,19.739208802178716,8.183432904125516e-05
5,30.83857011289713,30.842513753404244,0.00012786378369299812
